"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jul 04 14:36:57 GMT 2023","Tue Jul 04 14:37:05 GMT 2023","7792","","tests.OnboardingTests","","tests.OnboardingTests","acceptedEtnInvestorsCorrectView","acceptedEtnInvestorsCorrectView()",""
"broken","Tue Jul 04 14:36:47 GMT 2023","Tue Jul 04 14:36:57 GMT 2023","10253","","tests.KazpostTests","","tests.KazpostTests","onboardingKazpost","Onboarding for Kazpost with a new number",""
